file,class,method,variable,usage
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkNonInternationalizedStrings/0,HTML_TEXT_LITERAL,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkNonInternationalizedStrings/0,BRACKET_ONLY,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/system/I18nPropertiesSyncTest.java,org.springframework.samples.petclinic.system.I18nPropertiesSyncTest,checkNonInternationalizedStrings/0,HAS_TH_TEXT_ATTRIBUTE,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/service/ClinicServiceTests.java,org.springframework.samples.petclinic.service.ClinicServiceTests,shouldInsertPetIntoDatabaseAndGenerateId/0,types,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/service/ClinicServiceTests.java,org.springframework.samples.petclinic.service.ClinicServiceTests,shouldInsertPetIntoDatabaseAndGenerateId/0,owners,3
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/service/ClinicServiceTests.java,org.springframework.samples.petclinic.service.ClinicServiceTests,shouldAddNewVisitForPet/0,owners,2
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/service/ClinicServiceTests.java,org.springframework.samples.petclinic.service.ClinicServiceTests,shouldInsertOwner/0,pageable,2
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/service/ClinicServiceTests.java,org.springframework.samples.petclinic.service.ClinicServiceTests,shouldInsertOwner/0,owners,3
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/service/ClinicServiceTests.java,org.springframework.samples.petclinic.service.ClinicServiceTests,shouldFindVisitsByPetId/0,owners,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/service/ClinicServiceTests.java,org.springframework.samples.petclinic.service.ClinicServiceTests,shouldFindSingleOwnerWithPet/0,owners,1
