id;sku;nome;modelo;cor;capacidade;preco;parcelas;valor_parcela;cores_disponiveis;outras_cores;cores_esgotadas;selo;url
14973472276840;09139;Copo Quencher Sea Glass Plume Stanley 1913;Copo Quencher;Sea Glass Plume;887ml;319.0;12x;26.58;30;Rose Quartz, Cream, Frost, Black 2.0, Antique Pink, Camel, Hydrangea, Cherry Blossom, Cream Moon, Dew Drop, Pistachio, Almond Rose, Bloom, Cornflower Cabana Gloss, Cornflower Gloss, Cream Royal, Fuchsia, Peach Whip Cabana Gloss, Peach Whip Gloss, Cool Serene, Citron, Ash, Black 2.0, Peach Rose, Purple Dust, Sahara Plume, Tropical Teal, Chili, Bright Lime;0;Novidade;https://www.stanley1913.com.br/products/quencher-0-887l-sea-glass-plume?variant=53974306128232
14973472244072;09138;Copo Quencher Sahara Plume Stanley 1913;Copo Quencher;Sahara Plume;887ml;319.0;12x;26.58;30;Rose Quartz, Cream, Frost, Black 2.0, Antique Pink, Camel, Hydrangea, Cherry Blossom, Cream Moon, Dew Drop, Pistachio, Almond Rose, Bloom, Cornflower Cabana Gloss, Cornflower Gloss, Cream Royal, Fuchsia, Peach Whip Cabana Gloss, Peach Whip Gloss, Cool Serene, Citron, Ash, Black 2.0, Peach Rose, Purple Dust, Sea Glass Plume, Tropical Teal, Chili, Bright Lime;0;Novidade;https://www.stanley1913.com.br/products/quencher-0-887l-sahara-plume?variant=53974306095464
14973472211304;09068;Mochila Térmica Madeleine Sea Glass Plume Stanley 1913;Mochila Térmica Madeleine;Sea Glass Plume;13.2L;1499.0;12x;124.91;3;Black, Ash;0;Novidade;https://www.stanley1913.com.br/products/bolsa-madel-midi-14l-sea-glass-plume?variant=53974306029928
14973472178536;09065;Lancheira Térmica Julienne Sea Glass Plume Stanley 1913;Lancheira Térmica Julienne;Sea Glass Plume;7L;1099.0;12x;91.58;4;Fuchsia, Seafoam, Ash;0;Novidade;https://www.stanley1913.com.br/products/bolsa-julien-mini-6-8l-sea-glass-plume?variant=53974305997160
14973472145768;09123;Lancheira Térmica Julienne Ash Stanley 1913;Lancheira Térmica Julienne;Ash;7L;1099.0;12x;91.58;4;Fuchsia, Seafoam, Sea Glass Plume;0;Novidade;https://www.stanley1913.com.br/products/bolsa-julien-mini-6-8l-ash?variant=53974305964392
14973472113000;08987;Garrafa Térmica Aerolight Flip Straw Cobalt Chartreuse Stanley 1913;Garrafa Térmica Aerolight Flip Straw;Cobalt Chartreuse;473ml;289.0;12x;24.08;8;Ash, Black, Frost, Pomelo, Rose Quartz, Chartreuse, Dark Blossom;0;Novidade;https://www.stanley1913.com.br/products/aerolight-flipstraw-0-47l-cobalt-chartreuse?variant=53974305931624
14973472080232;08986;Garrafa Térmica Aerolight Flip Straw Chartreuse Stanley 1913;Garrafa Térmica Aerolight Flip Straw;Chartreuse;473ml;289.0;12x;24.08;8;Ash, Black, Frost, Pomelo, Rose Quartz, Cobalt Chartreuse, Dark Blossom;0;Novidade;https://www.stanley1913.com.br/products/aerolight-flipstraw-0-47l-chartreuse?variant=53974305898856
14973472047464;08985;Garrafa Térmica Aerolight Flip Straw Dark Blossom Stanley 1913;Garrafa Térmica Aerolight Flip Straw;Dark Blossom;473ml;289.0;12x;24.08;8;Ash, Black, Frost, Pomelo, Rose Quartz, Chartreuse, Cobalt Chartreuse;0;Novidade;https://www.stanley1913.com.br/products/aerolight-flipstraw-0-47l-dark-blossom?variant=53974305866088
14973472014696;08984;Garrafa Térmica Aerolight Flip Straw Dark Blossom Stanley 1913;Garrafa Térmica Aerolight Flip Straw;Dark Blossom;710ml;335.0;12x;27.91;23;Pomelo, Lilac, Black, Ash, Rose Quartz, Hot Coral, Splash, Frost, Vivid Violet, Apple Shimmer, Clover Shimmer, Pink Messi, Striker Blue, Cornflower Gloss, Peach Whip Gloss, Cream Rose Gold, Terracota, Agave, Messi Black, Prickly Pear, Twilight, Honeydew Hypergrip;0;Novidade;https://www.stanley1913.com.br/products/aerolight-flipstraw-0-71l-dark-blossom?variant=53974305833320
14973471981928;08946;Mochila Térmica Madeleine Black Stanley 1913;Mochila Térmica Madeleine;Black;13.2L;1499.0;12x;124.91;3;Sea Glass Plume, Ash;0;Novidade;https://www.stanley1913.com.br/products/bolsa-madel-midi-14l-black?variant=53974305800552
